id_number	mz	rtime	empCpd	neutral_formula	ion_relation	rtime_left_base	rtime_right_base	parent_masstrack_id	peak_area	cSelectivity	goodness_fitting	snr	detection_counts	batch14_MT_20210808_087	batch11_MT_20210805_005	batch12_MT_20210806_005_20210806121327	batch13_MT_20210807_005	batch14_MT_20210808_005	batch14_MT_20210808_089	batch14_MT_20210808_179	batch14_MT_20210808_181
F5098	461.3628	14.99	4645	C29H46O3	singleton	13.1	16.51	2450	1160236	1.0	0.99	222	1	1170241	0	0	0	0	0	0	0
F5109	384.2383	17.26	_singleton_4646	C20H30O6	singleton	14.99	19.14	2084	14743361	1.0	0.8	340	4	4790508	0	0	0	0	2134842	4030782	3799229
F5110	384.2383	23.32	kp1467_383.2311		M0,M+H+	21.82	27.15	2084	2048594	1.0	0.89	86	4	502292	0	0	0	0	591255	530388	460341
F5116	592.325	84.0	4648	C33H44N4O6	singleton	80.19	87.03	2921	8685325	1.0	0.95	267	4	1694957	0	0	0	0	2004364	2187163	2817848
F5118	384.2748	16.13	_singleton_4649	C21H34O5	singleton	14.99	17.63	2085	996387	0.77	0.82	29	6	363098	45725	0	34814	0	284216	119437	157097
F5121	592.4704	87.79	4652	C39H61NO3	singleton	86.27	89.66	2922	9689162	1.0	0.84	1699	7	1641742	1034837	0	1164272	1428083	1586943	1469046	1217149
F5122	592.494	23.32	kp686_550.4611		M0,ACN	21.04	26.75	2923	58781031	1.0	0.98	12936	8	8521204	5489533	5958916	5634065	5313357	9954465	8180187	7981252
F5123	592.494	33.33	kp688_591.4868		M0,M+H+	29.08	37.96	2923	11543483	1.0	0.94	751	8	1831994	843000	1569417	1178803	1183838	1755315	1706111	1605863
F5124	463.3422	17.26	_singleton_4653	C28H44O4	singleton	15.75	19.14	2454	1133090	1.0	0.95	23	3	642333	0	0	0	0	0	140896	359863
F5125	463.3422	23.7	4654	C28H44O4	singleton	21.43	25.2	2454	921626	1.0	0.99	23	3	282073	0	0	0	0	0	314616	337693
F5127	384.2958	16.89	4655	C18H38O7	singleton	15.75	21.43	2086	10486285	1.0	0.97	147	8	1965282	681254	565320	754945	652210	1419901	2172245	2223063
